"field.fitted","psf.m3","psf.norm","mh.norm","direction","fwhm","fifthThird"
-18.4031,-2.09434688586953e-12,-0.00134253997551673,-0.999970173947188,"forward",7.6433,0.410590856096298
-18.3871,-1.8288112854016e-12,-0.00117232358922643,-0.999977583074885,"forward",7.6433,0.410590856096298
-18.3709,-1.56529588992022e-12,-0.00100340221570193,-0.999983924613361,"forward",7.6433,0.410590856096298
-18.3547,-1.30377521184607e-12,-0.000835759516630607,-0.999989206643885,"forward",7.6433,0.410590856096298
-18.3385,-1.04422417361319e-12,-0.000669379416530884,-0.999993437146129,"forward",7.6433,0.410590856096298
-18.3222,-7.86618099222728e-13,-0.0005042460973379,-0.999996623999793,"forward",7.6433,0.410590856096298
-18.3058,-5.3093270590571e-13,-0.000340343993059078,-0.999998774986201,"forward",7.6433,0.410590856096298
-18.2894,-2.7714409692774e-13,-0.000177657785161742,-0.999999897789861,"forward",7.6433,0.410590856096298
-18.2729,-2.52287534604609e-14,-1.61723973624658e-05,-1,"forward",7.6433,0.410590856096298
-18.2563,2.24836472816215e-13,0.000144127009115124,-0.999999089112063,"forward",7.6433,0.410590856096298
-18.2397,4.73074366912912e-13,0.000303255040154994,-0.999997172529187,"forward",7.6433,0.410590856096298
-18.223,7.19507357806028e-13,0.000461226073412361,-0.999994257563637,"forward",7.6433,0.410590856096298
-18.2063,9.64157525273585e-13,0.000618054262695671,-0.999990351438231,"forward",7.6433,0.410590856096298
-18.1895,1.20704660669769e-12,0.000773753542327187,-0.999985461287719,"forward",7.6433,0.410590856096298
-18.1726,1.44819600396005e-12,0.000928337631563232,-0.999979594160143,"forward",7.6433,0.410590856096298
-18.1557,1.68762678946163e-12,0.00108182003845295,-0.999972757018176,"forward",7.6433,0.410590856096298
-18.1439,1.92746432974373e-12,0.0012355631875133,-0.999964948213919,"forward",7.6433,0.410590856096298
-18.1387,2.54711874149618e-12,0.00163278048919137,-0.999954628981877,"forward",7.6433,0.410590856096298
-18.1217,3.17040430251933e-12,0.00203232546785833,-0.999941784611047,"forward",7.6433,0.410590856096298
-18.1046,3.78930545286858e-12,0.00242905990609451,-0.999926432864146,"forward",7.6433,0.410590856096298
-18.0874,4.40387457874574e-12,0.00282301738504667,-0.999908591291658,"forward",7.6433,0.410590856096298
-18.0702,5.01416327653362e-12,0.00321423097956356,-0.999888277235032,"forward",7.6433,0.410590856096298
-18.0529,5.62022236570884e-12,0.00360273326647348,-0.999865507829832,"forward",7.6433,0.410590856096298
-18.0355,6.22210190659427e-12,0.00398855633596413,-0.999840300008808,"forward",7.6433,0.410590856096298
